営業日,店舗名,台番号,機種名,総回転数,差枚,BB回数,RB回数
2026-09-01,Aホール,101,サンプルAT機,4858,-966,18,16
2026-09-01,Aホール,102,サンプルAタイプ,5354,-87,17,14
2026-09-01,Aホール,103,サンプル天井機,3015,-45,11,10
2026-09-01,Aホール,104,サンプルAT機,5785,438,19,12
2026-09-01,Aホール,105,サンプルAタイプ,2713,-161,10,7
2026-09-01,Aホール,106,サンプル天井機,3694,-1282,15,9
2026-09-01,Aホール,107,サンプルAT機,6891,610,21,13
2026-09-01,Aホール,108,サンプルAタイプ,1566,-332,6,4
2026-09-01,Aホール,109,サンプル天井機,4646,-1089,18,14
2026-09-01,Aホール,110,サンプルAT機,7492,-1175,25,21
2026-09-01,Aホール,111,サンプルAタイプ,2139,327,7,5
2026-09-01,Aホール,112,サンプル天井機,6605,-1038,25,21
2026-09-01,Bホール,201,サンプルAT機,2184,216,8,4
2026-09-01,Bホール,202,サンプルAタイプ,5242,-34,17,14
2026-09-01,Bホール,203,サンプル天井機,5065,-486,16,10
2026-09-01,Bホール,204,サンプルAT機,7170,-904,25,22
2026-09-01,Bホール,205,サンプルAタイプ,2178,-1234,9,6
2026-09-01,Bホール,206,サンプル天井機,4691,95,20,18
2026-09-01,Bホール,207,サンプルAT機,5097,-1587,16,12
2026-09-01,Bホール,208,サンプルAタイプ,1932,245,6,4
2026-09-01,Bホール,209,サンプル天井機,5522,-1539,22,13
2026-09-01,Bホール,210,サンプルAT機,3567,-888,13,7
2026-09-01,Bホール,211,サンプルAタイプ,5663,2479,18,9
2026-09-01,Bホール,212,サンプル天井機,3479,196,14,9
2026-09-02,Aホール,101,サンプルAT機,2049,-268,7,5
2026-09-02,Aホール,102,サンプルAタイプ,4373,-591,16,10
2026-09-02,Aホール,103,サンプル天井機,4233,-446,14,9
2026-09-02,Aホール,104,サンプルAT機,3931,-282,15,12
2026-09-02,Aホール,105,サンプルAタイプ,3313,-291,11,7
2026-09-02,Aホール,106,サンプル天井機,7560,803,27,15
2026-09-02,Aホール,107,サンプルAT機,2331,287,8,5
2026-09-02,Aホール,108,サンプルAタイプ,2472,-288,10,8
2026-09-02,Aホール,109,サンプル天井機,5360,-541,22,13
2026-09-02,Aホール,110,サンプルAT機,5447,161,22,15
2026-09-02,Aホール,111,サンプルAタイプ,7629,2827,24,19
2026-09-02,Aホール,112,サンプル天井機,2111,-1180,8,5
2026-09-02,Bホール,201,サンプルAT機,7898,-1096,24,19
2026-09-02,Bホール,202,サンプルAタイプ,4049,-24,17,12
2026-09-02,Bホール,203,サンプル天井機,6829,-2377,26,15
2026-09-02,Bホール,204,サンプルAT機,7971,-2138,26,23
2026-09-02,Bホール,205,サンプルAタイプ,3661,-1624,15,13
2026-09-02,Bホール,206,サンプル天井機,5777,-1023,18,15
2026-09-02,Bホール,207,サンプルAT機,7814,-976,33,27
2026-09-02,Bホール,208,サンプルAタイプ,5971,-1012,25,20
2026-09-02,Bホール,209,サンプル天井機,3607,-1103,13,7
2026-09-02,Bホール,210,サンプルAT機,6126,-430,19,12
2026-09-02,Bホール,211,サンプルAタイプ,2248,92,8,6
2026-09-02,Bホール,212,サンプル天井機,6717,-778,21,14
2026-09-03,Aホール,101,サンプルAT機,3003,406,12,6
2026-09-03,Aホール,102,サンプルAタイプ,2514,-607,8,6
2026-09-03,Aホール,103,サンプル天井機,1863,-1016,7,5
2026-09-03,Aホール,104,サンプルAT機,3248,835,10,5
2026-09-03,Aホール,105,サンプルAタイプ,5601,-199,22,16
2026-09-03,Aホール,106,サンプル天井機,5167,-1235,21,13
2026-09-03,Aホール,107,サンプルAT機,7784,-1366,26,14
2026-09-03,Aホール,108,サンプルAタイプ,2338,-622,10,6
2026-09-03,Aホール,109,サンプル天井機,5264,-1941,17,10
2026-09-03,Aホール,110,サンプルAT機,2818,1655,12,8
2026-09-03,Aホール,111,サンプルAタイプ,1774,312,7,5
2026-09-03,Aホール,112,サンプル天井機,3855,1517,14,11
2026-09-03,Bホール,201,サンプルAT機,4766,-1551,15,13
2026-09-03,Bホール,202,サンプルAタイプ,5640,-377,21,14
2026-09-03,Bホール,203,サンプル天井機,2061,-697,8,6
2026-09-03,Bホール,204,サンプルAT機,5778,-510,19,12
2026-09-03,Bホール,205,サンプルAタイプ,6871,-1461,27,17
2026-09-03,Bホール,206,サンプル天井機,7165,-1790,30,20
2026-09-03,Bホール,207,サンプルAT機,1689,-495,6,3
2026-09-03,Bホール,208,サンプルAタイプ,4941,345,20,16
2026-09-03,Bホール,209,サンプル天井機,7086,-693,29,16
2026-09-03,Bホール,210,サンプルAT機,4649,-450,16,9
2026-09-03,Bホール,211,サンプルAタイプ,2756,-522,10,8
2026-09-03,Bホール,212,サンプル天井機,5372,-903,17,11
2026-09-04,Aホール,101,サンプルAT機,1706,1010,5,4
2026-09-04,Aホール,102,サンプルAタイプ,2390,11,10,9
2026-09-04,Aホール,103,サンプル天井機,4483,1550,18,11
2026-09-04,Aホール,104,サンプルAT機,2421,-630,8,6
2026-09-04,Aホール,105,サンプルAタイプ,7690,-316,32,22
2026-09-04,Aホール,106,サンプル天井機,6084,279,19,11
2026-09-04,Aホール,107,サンプルAT機,3329,-731,10,6
2026-09-04,Aホール,108,サンプルAタイプ,7402,-1270,26,21
2026-09-04,Aホール,109,サンプル天井機,2189,-302,8,5
2026-09-04,Aホール,110,サンプルAT機,1579,-45,6,4
2026-09-04,Aホール,111,サンプルAタイプ,3843,-669,15,9
2026-09-04,Aホール,112,サンプル天井機,2760,326,10,5
2026-09-04,Bホール,201,サンプルAT機,5637,-949,20,15
2026-09-04,Bホール,202,サンプルAタイプ,1864,356,6,4
2026-09-04,Bホール,203,サンプル天井機,5773,-1698,21,12
2026-09-04,Bホール,204,サンプルAT機,7624,490,24,14
2026-09-04,Bホール,205,サンプルAタイプ,4402,-1879,15,10
2026-09-04,Bホール,206,サンプル天井機,7197,-944,28,21
2026-09-04,Bホール,207,サンプルAT機,5310,-295,18,13
2026-09-04,Bホール,208,サンプルAタイプ,2758,497,10,8
2026-09-04,Bホール,209,サンプル天井機,3732,-1013,13,11
2026-09-04,Bホール,210,サンプルAT機,2372,281,10,6
